dispute_number,state_a,state_b,current_year,state_a_code,state_b_code,dyad_pair_code,in_trade_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,no_years,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai
294,EU,USA,2006,EU20042006,USA2006,EU20042006USA2006,1,EU,,,,,,,,,USA,,,,,2003,Yes,2012,10,W (Not Industry-Specific),ARG,BRA,CHN,TAW,HGK,IND,JPN,ROK,MEX,NOR,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,
294,EU,USA,2007,EU20072007,USA2007,EU20072007USA2007,1,EU,,,,,,,,,USA,,,,,2003,Yes,2012,10,W (Not Industry-Specific),ARG,BRA,CHN,TAW,HGK,IND,JPN,ROK,MEX,NOR,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,
294,EU,USA,2008,EU20072008,USA2008,EU20072008USA2008,1,EU,,,,,,,,,USA,,,,,2003,Yes,2012,10,W (Not Industry-Specific),ARG,BRA,CHN,TAW,HGK,IND,JPN,ROK,MEX,NOR,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,
294,EU,USA,2009,EU20072009,USA2009,EU20072009USA2009,1,EU,,,,,,,,,USA,,,,,2003,Yes,2012,10,W (Not Industry-Specific),ARG,BRA,CHN,TAW,HGK,IND,JPN,ROK,MEX,NOR,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,
294,EU,USA,2010,EU20072010,USA2010,EU20072010USA2010,1,EU,,,,,,,,,USA,,,,,2003,Yes,2012,10,W (Not Industry-Specific),ARG,BRA,CHN,TAW,HGK,IND,JPN,ROK,MEX,NOR,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,
294,EU,USA,2011,EU20072011,USA2011,EU20072011USA2011,1,EU,,,,,,,,,USA,,,,,2003,Yes,2012,10,W (Not Industry-Specific),ARG,BRA,CHN,TAW,HGK,IND,JPN,ROK,MEX,NOR,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,
294,EU,USA,2012,EU20072012,USA2012,EU20072012USA2012,1,EU,,,,,,,,,USA,,,,,2003,Yes,2012,10,W (Not Industry-Specific),ARG,BRA,CHN,TAW,HGK,IND,JPN,ROK,MEX,NOR,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,
295,USA,MEX,2003,USA2003,MEX2003,MEX2003USA2003,1,USA,,,,,,,,,MEX,,,,,2003,Yes,2005,3,A (Live Animals and Meat),CHN,EU,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,USA,MEX,2004,USA2004,MEX2004,MEX2004USA2004,1,USA,,,,,,,,,MEX,,,,,2003,Yes,2005,3,A (Live Animals and Meat),CHN,EU,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,USA,MEX,2005,USA2005,MEX2005,MEX2005USA2005,1,USA,,,,,,,,,MEX,,,,,2003,Yes,2005,3,A (Live Animals and Meat),CHN,EU,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,ROK,USA,2003,ROK2003,USA2003,ROK2003USA2003,1,ROK,,,,,,,,,USA,,,,,2003,Yes,2006,4,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,ROK,USA,2004,ROK2004,USA2004,ROK2004USA2004,1,ROK,,,,,,,,,USA,,,,,2003,Yes,2006,4,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,ROK,USA,2005,ROK2005,USA2005,ROK2005USA2005,1,ROK,,,,,,,,,USA,,,,,2003,Yes,2006,4,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,ROK,USA,2006,ROK2006,USA2006,ROK2006USA2006,1,ROK,,,,,,,,,USA,,,,,2003,Yes,2006,4,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,HUN,CRO,2003,HUN2003,CRO2003,CRO2003HUN2003,1,HUN,,,,,,,,,CRO,,,,,2003,No,2009,7,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,HUN,CRO,2004,HUN2004,CRO2004,CRO2004HUN2004,1,HUN,,,,,,,,,CRO,,,,,2003,No,2009,7,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,HUN,CRO,2005,HUN2005,CRO2005,CRO2005HUN2005,1,HUN,,,,,,,,,CRO,,,,,2003,No,2009,7,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,HUN,CRO,2006,HUN2006,CRO2006,CRO2006HUN2006,1,HUN,,,,,,,,,CRO,,,,,2003,No,2009,7,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,HUN,CRO,2007,HUN2007,CRO2007,CRO2007HUN2007,1,HUN,,,,,,,,,CRO,,,,,2003,No,2009,7,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,HUN,CRO,2008,HUN2008,CRO2008,CRO2008HUN2008,1,HUN,,,,,,,,,CRO,,,,,2003,No,2009,7,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,HUN,CRO,2009,HUN2009,CRO2009,CRO2009HUN2009,1,HUN,,,,,,,,,CRO,,,,,2003,No,2009,7,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,GUA,MEX,2003,GUA2003,MEX2003,GUA2003MEX2003,1,GUA,,,,,,,,,MEX,,,,,2003,No,2005,3,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,GUA,MEX,2004,GUA2004,MEX2004,GUA2004MEX2004,1,GUA,,,,,,,,,MEX,,,,,2003,No,2005,3,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,GUA,MEX,2005,GUA2005,MEX2005,GUA2005MEX2005,1,GUA,,,,,,,,,MEX,,,,,2003,No,2005,3,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,ROK,EU,2003,ROK2003,EU19952003,EU19952003ROK2003,1,ROK,,,,,,,,,EU,,,,,2003,Yes,2006,4,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,ROK,EU,2004,ROK2004,EU20042004,EU20042004ROK2004,1,ROK,,,,,,,,,EU,,,,,2003,Yes,2006,4,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,ROK,EU,2005,ROK2005,EU20042005,EU20042005ROK2005,1,ROK,,,,,,,,,EU,,,,,2003,Yes,2006,4,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,ROK,EU,2006,ROK2006,EU20042006,EU20042006ROK2006,1,ROK,,,,,,,,,EU,,,,,2003,Yes,2006,4,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,HON,DOM,2003,HON2003,DOM2003,DOM2003HON2003,1,HON,,,,,,,,,DOM,,,,,2003,No,2003,1,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,ROK,EU,2003,ROK2003,EU19952003,EU19952003ROK2003,1,ROK,,,,,,,,,EU,,,,,2003,Yes,2005,3,U (Transport Equipment),CHN,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,ROK,EU,2004,ROK2004,EU20042004,EU20042004ROK2004,1,ROK,,,,,,,,,EU,,,,,2003,Yes,2005,3,U (Transport Equipment),CHN,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,ROK,EU,2005,ROK2005,EU20042005,EU20042005ROK2005,1,ROK,,,,,,,,,EU,,,,,2003,Yes,2005,3,U (Transport Equipment),CHN,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,HON,DOM,2003,HON2003,DOM2003,DOM2003HON2003,1,HON,,,,,,,,,DOM,,,,,2003,Yes,2005,3,H (Beverages and Tobacco),CHL,CHN,EU,SAL,GUA,NIC,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,HON,DOM,2004,HON2004,DOM2004,DOM2004HON2004,1,HON,,,,,,,,,DOM,,,,,2003,Yes,2005,3,H (Beverages and Tobacco),CHL,CHN,EU,SAL,GUA,NIC,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,HON,DOM,2005,HON2005,DOM2005,DOM2005HON2005,1,HON,,,,,,,,,DOM,,,,,2003,Yes,2005,3,H (Beverages and Tobacco),CHL,CHN,EU,SAL,GUA,NIC,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,CHL,ECU,2003,CHL2003,ECU2003,CHL2003ECU2003,1,CHL,,,,,,,,,ECU,,,,,2003,No,2003,1,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,EU,IND,2003,EU19952003,IND2003,EU19952003IND2003,1,EU,,,,,,,,,IND,,,,,2003,No,2003,1,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,USA,EGY,2003,USA2003,EGY2003,EGY2003USA2003,1,USA,,,,,,,,,EGY,,,,,2003,No,2005,3,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,USA,EGY,2004,USA2004,EGY2004,EGY2004USA2004,1,USA,,,,,,,,,EGY,,,,,2003,No,2005,3,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,USA,EGY,2005,USA2005,EGY2005,EGY2005USA2005,1,USA,,,,,,,,,EGY,,,,,2003,No,2005,3,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,BNG,IND,2004,BNG2004,IND2004,BNG2004IND2004,1,BNG,,,,,,,,,IND,,,,,2004,No,2006,3,"S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,BNG,IND,2005,BNG2005,IND2005,BNG2005IND2005,1,BNG,,,,,,,,,IND,,,,,2004,No,2006,3,"S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,BNG,IND,2006,BNG2006,IND2006,BNG2006IND2006,1,BNG,,,,,,,,,IND,,,,,2004,No,2006,3,"S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,ROK,EU,2004,ROK2004,EU20042004,EU20042004ROK2004,1,ROK,,,,,,,,,EU,,,,,2004,No,2004,1,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,USA,MEX,2004,USA2004,MEX2004,MEX2004USA2004,1,USA,,,,,,,,,MEX,,,,,2004,Yes,2007,4,H (Beverages and Tobacco),CAN,CHN,EU,GUA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,USA,MEX,2005,USA2005,MEX2005,MEX2005USA2005,1,USA,,,,,,,,,MEX,,,,,2004,Yes,2007,4,H (Beverages and Tobacco),CAN,CHN,EU,GUA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,USA,MEX,2006,USA2006,MEX2006,MEX2006USA2006,1,USA,,,,,,,,,MEX,,,,,2004,Yes,2007,4,H (Beverages and Tobacco),CAN,CHN,EU,GUA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,USA,MEX,2007,USA2007,MEX2007,MEX2007USA2007,1,USA,,,,,,,,,MEX,,,,,2004,Yes,2007,4,H (Beverages and Tobacco),CAN,CHN,EU,GUA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,USA,CHN,2004,USA2004,CHN2004,CHN2004USA2004,1,USA,,,,,,,,,CHN,,,,,2004,No,2005,2,"S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,USA,CHN,2005,USA2005,CHN2005,CHN2005USA2005,1,USA,,,,,,,,,CHN,,,,,2004,No,2005,2,"S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,CAN,USA,2004,CAN2004,USA2004,CAN2004USA2004,1,CAN,,,,,,,,,USA,,,,,2004,No,2004,1,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,CAN,USA,2004,CAN2004,USA2004,CAN2004USA2004,1,CAN,,,,,,,,,USA,,,,,2004,No,2007,4,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,CAN,USA,2005,CAN2005,USA2005,CAN2005USA2005,1,CAN,,,,,,,,,USA,,,,,2004,No,2007,4,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,CAN,USA,2006,CAN2006,USA2006,CAN2006USA2006,1,CAN,,,,,,,,,USA,,,,,2004,No,2007,4,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,CAN,USA,2007,CAN2007,USA2007,CAN2007USA2007,1,CAN,,,,,,,,,USA,,,,,2004,No,2007,4,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,INS,ROK,2004,INS2004,ROK2004,INS2004ROK2004,1,INS,,,,,,,,,ROK,,,,,2004,Yes,2007,4,"O (Wood, Paper, Furniture)",CAN,CHN,EU,JPN,USA,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,INS,ROK,2005,INS2005,ROK2005,INS2005ROK2005,1,INS,,,,,,,,,ROK,,,,,2004,Yes,2007,4,"O (Wood, Paper, Furniture)",CAN,CHN,EU,JPN,USA,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,INS,ROK,2006,INS2006,ROK2006,INS2006ROK2006,1,INS,,,,,,,,,ROK,,,,,2004,Yes,2007,4,"O (Wood, Paper, Furniture)",CAN,CHN,EU,JPN,USA,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,INS,ROK,2007,INS2007,ROK2007,INS2007ROK2007,1,INS,,,,,,,,,ROK,,,,,2004,Yes,2007,4,"O (Wood, Paper, Furniture)",CAN,CHN,EU,JPN,USA,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,IND,EU,2004,IND2004,EU20042004,EU20042004IND2004,1,IND,,,,,,,,,EU,,,,,2004,No,2004,1,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,EU,MEX,2004,EU20042004,MEX2004,EU20042004MEX2004,1,EU,,,,,,,,,MEX,,,,,2004,No,2004,1,"F (Oilseeds, Fats and Oils)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,USA,EU,2004,USA2004,EU20042004,EU20042004USA2004,1,USA,,,,,,,,,EU,,,,,2004,Yes,2006,3,W (Not Industry-Specific),ARG,AUL,BRA,CHN,TAW,HGK,CHN,IND,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,
315,USA,EU,2005,USA2005,EU20042005,EU20042005USA2005,1,USA,,,,,,,,,EU,,,,,2004,Yes,2006,3,W (Not Industry-Specific),ARG,AUL,BRA,CHN,TAW,HGK,CHN,IND,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,
315,USA,EU,2006,USA2006,EU20042006,EU20042006USA2006,1,USA,,,,,,,,,EU,,,,,2004,Yes,2006,3,W (Not Industry-Specific),ARG,AUL,BRA,CHN,TAW,HGK,CHN,IND,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,EU,2004,USA2004,EU20042004,EU20042004USA2004,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,FRN,2004,USA2004,FRN2004,FRN2004USA2004,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,GMY,2004,USA2004,GMY2004,GMY2004USA2004,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,SPN,2004,USA2004,SPN2004,SPN2004USA2004,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,UKG,2004,USA2004,UKG2004,UKG2004USA2004,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,EU,2005,USA2005,EU20042005,EU20042005USA2005,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,FRN,2005,USA2005,FRN2005,FRN2005USA2005,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,GMY,2005,USA2005,GMY2005,GMY2005USA2005,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,SPN,2005,USA2005,SPN2005,SPN2005USA2005,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,UKG,2005,USA2005,UKG2005,UKG2005USA2005,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,EU,2006,USA2006,EU20042006,EU20042006USA2006,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,FRN,2006,USA2006,FRN2006,FRN2006USA2006,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,GMY,2006,USA2006,GMY2006,GMY2006USA2006,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,SPN,2006,USA2006,SPN2006,SPN2006USA2006,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,UKG,2006,USA2006,UKG2006,UKG2006USA2006,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,EU,2007,USA2007,EU20072007,EU20072007USA2007,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,FRN,2007,USA2007,FRN2007,FRN2007USA2007,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,GMY,2007,USA2007,GMY2007,GMY2007USA2007,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,SPN,2007,USA2007,SPN2007,SPN2007USA2007,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,UKG,2007,USA2007,UKG2007,UKG2007USA2007,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,EU,2008,USA2008,EU20072008,EU20072008USA2008,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,FRN,2008,USA2008,FRN2008,FRN2008USA2008,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,GMY,2008,USA2008,GMY2008,GMY2008USA2008,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,SPN,2008,USA2008,SPN2008,SPN2008USA2008,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,UKG,2008,USA2008,UKG2008,UKG2008USA2008,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,EU,2009,USA2009,EU20072009,EU20072009USA2009,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,FRN,2009,USA2009,FRN2009,FRN2009USA2009,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,GMY,2009,USA2009,GMY2009,GMY2009USA2009,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,SPN,2009,USA2009,SPN2009,SPN2009USA2009,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,UKG,2009,USA2009,UKG2009,UKG2009USA2009,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,EU,2010,USA2010,EU20072010,EU20072010USA2010,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,FRN,2010,USA2010,FRN2010,FRN2010USA2010,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,GMY,2010,USA2010,GMY2010,GMY2010USA2010,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,SPN,2010,USA2010,SPN2010,SPN2010USA2010,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,UKG,2010,USA2010,UKG2010,UKG2010USA2010,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,EU,2011,USA2011,EU20072011,EU20072011USA2011,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,FRN,2011,USA2011,FRN2011,FRN2011USA2011,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,GMY,2011,USA2011,GMY2011,GMY2011USA2011,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,USA,SPN,2011,USA2011,SPN2011,SPN2011USA2011,1,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,16,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
