dispute_number,title_of_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,status,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai,no_third_parties
213,USA - Countervailing Duties on Certain Corrosion-Resistant Carbon Steel Flat Products from GMY,EU,,,,,,,,,USA,,,,,2000,Yes,2004,Implementation notified by respondent,L (Minerals and Metals),JPN,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
214,USA - Definitive Safeguard Measures on Imports of Steel Wire Rod and Circular Welded Quality Line Pipe,EU,,,,,,,,,USA,,,,,2000,Yes,2001,"Panel established, but not yet composed",L (Minerals and Metals),ARG,CAN,JPN,ROK,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
215,PHI - Anti-Dumping Measures Regarding Polypropylene Resins from Korea,ROK,,,,,,,,,PHI,,,,,2000,No,2000,In consultations,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
216,MEX - Provisional Anti-Dumping Measure on Electric Transformers,BRA,,,,,,,,,MEX,,,,,2000,No,2000,In consultations,"S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
217,USA - Continued Dumping and Subsidy Offset Act of 2000,AUL,BRA,CHL,EU,IND,INS,JPN,ROK,THI,USA,,,,,2000,Yes,2004,Authorization to retaliate granted,W (Not Industry-Specific),ARG,BRA,CHL,EU,IND,INS,JPN,ROK,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,9
218,USA - Countervailing Duties on Certain Carbon Steel Products from BRA,BRA,,,,,,,,,USA,,,,,2000,No,2000,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
219,EU1995 - Anti-Dumping Duties on Malleable Cast Iron Tube or Pipe Fittings from BRA,BRA,,,,,,,,,EU,,,,,2000,Yes,2004,Implementation notified by respondent,L (Minerals and Metals),CHL,JPN,MEX,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
220,CHL - Price Band System and Safeguard Measures Relating to Certain Agricultural Products,GUA,,,,,,,,,CHL,,,,,2001,No,2001,In consultations,J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
221,USA - Section 129(c)(1) of the URU Round Agreements Act,CAN,,,,,,,,,USA,,,,,2001,Yes,2002,"Report(s) adopted, no further action required",W (Not Industry-Specific),CHL,EU,IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
222,CAN - Export Credit and Loan Guarantees for Regional Aircraft,BRA,,,,,,,,,CAN,,,,,2001,Yes,2003,Authorization to retaliate granted,U (Transport Equipment),AUL,EU,IND,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
223,EU1995 - Tariff-Rate Quota on Corn Gluten Feed from the USA,USA,,,,,,,,,EU,,,,,2001,No,2001,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
224,USA - US Patents Code,BRA,,,,,,,,,USA,,,,,2001,No,2001,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
225,USA - Anti-Dumping Duties on Seamless Pipe from ITA,EU,,,,,,,,,USA,,,,,2001,No,2001,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
226,CHL - Provisional Safeguard Measure on Mixtures of Edible Oils,ARG,,,,,,,,,CHL,,,,,2001,No,2001,In consultations,"F (Oilseeds, Fats and Oils)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
227,PER - Taxes on Cigarettes,CHL,,,,,,,,,PER,,,,,2001,Yes,2001,"Settled or terminated (withdrawn, mutually agreed solution)",H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
228,CHL - Safeguard Measures on Sugar,COL,,,,,,,,,CHL,,,,,2001,No,2001,"Settled or terminated (withdrawn, mutually agreed solution)",G (Sugars and Confectionary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
229,BRA - Anti-Dumping Measures on Jute Bags from IND,IND,,,,,,,,,BRA,,,,,2001,No,2001,In consultations,Q (Clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
230,CHL - Safeguard Measures and Modification of Schedules Regarding Sugar,COL,,,,,,,,,CHL,,,,,2001,No,2001,In consultations,G (Sugars and Confectionary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
231,EU1995 - Trade Description of Sardines,PER,,,,,,,,,EU,,,,,2001,Yes,2003,Mutually acceptable solution on implementation notified,K (Fish and Fish Products),CAN,CHL,COL,ECU,VEN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
232,MEX - Measures Affecting the Import of Matches,CHL,,,,,,,,,MEX,,,,,2001,No,2004,"Settled or terminated (withdrawn, mutually agreed solution)",N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
233,ARG - Measures Affecting the Import of Pharmaceutical Products,IND,,,,,,,,,ARG,,,,,2001,No,2001,In consultations,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
234,USA - Continued Dumping and Subsidy Offset Act of 2000,CAN,MEX,,,,,,,,USA,,,,,2001,Yes,2004,Authorization to retaliate granted,W (Not Industry-Specific),ARG,AUL,BRA,COS,EU,HGK,CHN,IND,INS,ISR,JPN,ROK,NOR,THI,,,,,,,,,,,,,,,,,,,,,,14
235,SLO - Safeguard Measure on Imports of Sugar,POL,,,,,,,,,SLO,,,,,2001,No,2002,"Settled or terminated (withdrawn, mutually agreed solution)",G (Sugars and Confectionary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
236,USA - Preliminary Determinations with Respect to Certain Softwood Lumber from CAN,CAN,,,,,,,,,USA,,,,,2001,Yes,2006,Mutually acceptable solution on implementation notified,"O (Wood, Paper, Furniture)",EU,IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
237,TUR - Certain Import Procedures for Fresh Fruit,ECU,,,,,,,,,TUR,,,,,2001,Yes,2002,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),COL,EU,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
238,ARG - Definitive Safeguard Measures on Imports of Preserved Peaches,CHL,,,,,,,,,ARG,,,,,2001,Yes,2004,Implementation notified by respondent,C (Fruits and Vegetables),EU,PAR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
239,USA - Anti-Dumping Duties on Silicon Metal from BRA,BRA,,,,,,,,,USA,,,,,2001,No,2001,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
240,ROM - Import Prohibition on Wheat and Wheat Flour,HUN,,,,,,,,,ROM,,,,,2001,Yes,2001,"Settled or terminated (withdrawn, mutually agreed solution)",E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
241,ARG - Definitive Anti-Dumping Duties on Poultry from BRA,BRA,,,,,,,,,ARG,,,,,2001,Yes,2003,"Report(s) adopted, with recommendations to bring measures into conformity",A (Live Animals and Meat),CAN,CHL,EU,GUA,PAR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
242,EU1995 - Generalized System of Preferences,THI,,,,,,,,,EU,,,,,2001,No,2001,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
243,USA - Rules of Origin for Textiles and Apparel Products,IND,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
244,USA - Sunset Review of Anti-Dumping Duties on Corrosion-Resistant Carbon Steel Flat Products from JPN,JPN,,,,,,,,,USA,,,,,2002,Yes,2004,"Report(s) adopted, no further action required",L (Minerals and Metals),BRA,CAN,CHL,EU,IND,ROK,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
245,JPN - Measures Affecting the Importation of Apples,USA,,,,,,,,,JPN,,,,,2002,Yes,2005,Mutually acceptable solution on implementation notified,C (Fruits and Vegetables),AUL,BRA,CHN,TAW,EU,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
246,EU1995 - Measures for the Granting of Tariff Preferences to Developing Countries,IND,,,,,,,,,EU,,,,,2002,Yes,2005,Implementation notified by respondent,W (Not Industry-Specific),BOL,BRA,COL,COS,CUB,ECU,SAL,GUA,HON,MAS,NIC,PAK,PAN,PAR,PER,SRI,VEN,USA,,,,,,,,,,,,,,,,,,18
247,USA - Provisional Anti-Dumping Measure on Imports of Certain Softwood Lumber from CAN,CAN,,,,,,,,,USA,,,,,2002,No,2006,"Settled or terminated (withdrawn, mutually agreed solution)","O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
248,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,EU,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",L (Minerals and Metals),BRA,CAN,CHN,TAW,CUB,JPN,ROK,NEW,NOR,SWZ,THI,TUR,VEN,,,,,,,,,,,,,,,,,,,,,,,13
249,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,JPN,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",L (Minerals and Metals),BRA,CAN,CHN,TAW,EU,ROK,MEX,NEW,NOR,SWZ,THI,TUR,VEN,,,,,,,,,,,,,,,,,,,,,,,13
250,USA - Equalizing Excise Tax Imposed by Florida on Processed Orange and Grapefruit Products,BRA,,,,,,,,,USA,,,,,2002,Yes,2004,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),CHL,EU,MEX,PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
251,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,ROK,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",L (Minerals and Metals),BRA,CAN,CHN,TAW,EU,JPN,MEX,NEW,NOR,SWZ,THI,TUR,VEN,,,,,,,,,,,,,,,,,,,,,,,13
252,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,CHN,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",L (Minerals and Metals),BRA,CAN,TAW,CUB,EU,JPN,ROK,MEX,NEW,NOR,SWZ,THI,TUR,VEN,,,,,,,,,,,,,,,,,,,,,,14
253,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,SWZ,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",L (Minerals and Metals),BRA,CAN,CHN,TAW,CUB,EU,JPN,ROK,MEX,NEW,NOR,THI,TUR,VEN,,,,,,,,,,,,,,,,,,,,,,14
254,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,NOR,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",L (Minerals and Metals),BRA,CAN,CHN,TAW,CUB,EU,JPN,ROK,MEX,NEW,SWZ,THI,TUR,VEN,,,,,,,,,,,,,,,,,,,,,,14
255,PER - Tax Treatment on Certain Imported Products,CHL,,,,,,,,,PER,,,,,2002,Yes,2002,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
256,TUR - Import Ban on Pet Food from HUN,HUN,,,,,,,,,TUR,,,,,2002,No,2002,In consultations,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
257,USA - Final Countervailing Duty Determination with respect to certain Softwood Lumber from CAN,CAN,,,,,,,,,USA,,,,,2002,Yes,2006,Mutually acceptable solution on implementation notified,"O (Wood, Paper, Furniture)",CHN,EU,IND,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
258,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,NEW,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",L (Minerals and Metals),BRA,CAN,CHN,TAW,CUB,EU,JPN,ROK,MEX,NOR,SWZ,THI,TUR,VEN,,,,,,,,,,,,,,,,,,,,,,14
259,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,BRA,,,,,,,,,USA,,,,,2002,Yes,2003,"Report(s) adopted, no further action required",L (Minerals and Metals),CAN,TAW,CUB,MEX,THI,TUR,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
260,EU1995 - Provisional Safeguard Measures on Imports of Certain Steel Products,USA,,,,,,,,,EU,,,,,2002,Yes,2002,"Panel established, but not yet composed",L (Minerals and Metals),EGY,JPN,ROK,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
261,URU - Tax Treatment on Certain Products,CHL,,,,,,,,,URU,,,,,2002,Yes,2004,"Settled or terminated (withdrawn, mutually agreed solution)",H (Beverages and Tobacco),EU,MEX,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
262,USA - Sunset Review of Anti-Dumping and Countervailing Duties on Certain Steel Products from FRN and GMY,EU,,,,,,,,,USA,,,,,2002,No,2002,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
263,EU1995 - Measures Affecting Imports of Wine,ARG,,,,,,,,,EU,,,,,2002,No,2002,In consultations,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
264,USA - Final Dumping Determination on Softwood Lumber from CAN,CAN,,,,,,,,,USA,,,,,2002,Yes,2006,Mutually acceptable solution on implementation notified,"O (Wood, Paper, Furniture)",CHN,EU,IND,JPN,NEW,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
265,EU1995 - Export Subsidies on Sugar,AUL,,,,,,,,,EU,,,,,2002,Yes,2005,"Report(s) adopted, with recommendations to bring measures into conformity",G (Sugars and Confectionary),BAR,BLZ,BRA,CAN,CHN,COL,CUB,FIJ,GUY,IND,JAM,KEN,MAG,MAW,MAS,NEW,PAR,SKN,SWA,TAZ,THI,TRI,USA,CDI,,,,,,,,,,,,24
266,EU1995 - Export Subsidies on Sugar,BRA,,,,,,,,,EU,,,,,2002,Yes,2005,"Report(s) adopted, with recommendations to bring measures into conformity",G (Sugars and Confectionary),AUL,BAR,BLZ,CAN,CHN,COL,CUB,FIJ,GUY,IND,JAM,KEN,MAG,MAW,MAS,NEW,PAR,SKN,SWA,TAZ,THI,TRI,USA,CDI,,,,,,,,,,,,24
267,USA - Subsidies on Upland Cotton,BRA,,,,,,,,,USA,,,,,2002,Yes,2014,Mutually acceptable solution on implementation notified,"I (Cotton, Silk and Wool)",ARG,AUL,BEN,CAN,CHA,CHN,TAW,EU,IND,NEW,PAK,PAR,VEN,JPN,THI,,,,,,,,,,,,,,,,,,,,,15
268,USA - Sunset Reviews of Anti-Dumping Measures on Oil Country Tubular Goods from ARG,ARG,,,,,,,,,USA,,,,,2002,Yes,2007,Authorization to retaliate requested,"S (Mechanical, Office and Computing Machinery)",CHN,EU,JPN,ROK,MEX,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
269,EU1995 - Customs Classification of Frozen Boneless Chicken Cuts,BRA,,,,,,,,,EU,,,,,2002,Yes,2006,Implementation notified by respondent,A (Live Animals and Meat),CHN,THI,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
270,AUL - Certain Measures Affecting the Importation of Fresh Fruit and Vegetables,PHI,,,,,,,,,AUL,,,,,2002,Yes,2003,"Panel established, but not yet composed",C (Fruits and Vegetables),CHL,CHN,EU,ECU,IND,THI,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
271,AUL - Certain Measures Affecting the Importation of Fresh Pineapple,PHI,,,,,,,,,AUL,,,,,2002,No,2002,In consultations,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
272,PER - Provisional Anti-Dumping Duties on Vegetable Oils from ARG,ARG,,,,,,,,,PER,,,,,2002,No,2002,In consultations,"F (Oilseeds, Fats and Oils)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
273,Korea - Measures Affecting Trade in Commercial Vessels,EU,,,,,,,,,ROK,,,,,2002,Yes,2005,Implementation notified by respondent,U (Transport Equipment),CHN,TAW,JPN,MEX,NOR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
274,USA - Definitive Safeguard Measures on Imports of Certain Steel Products,TAW,,,,,,,,,USA,,,,,2002,No,2002,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
275,VEN - Import Licensing Measures on Certain Agricultural Products,USA,,,,,,,,,VEN,,,,,2002,No,2002,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
276,CAN - Measures Relating to Exports of Wheat and Treatment of Imported Grain,USA,,,,,,,,,CAN,,,,,2002,Yes,2005,Implementation notified by respondent,E (Cereals and Food Preparations),AUL,CHL,CHN,TAW,EU,JPN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
277,USA - Investigation of the International Trade Commission in Softwood Lumber from CAN,CAN,,,,,,,,,USA,,,,,2002,Yes,2006,Mutually acceptable solution on implementation notified,"O (Wood, Paper, Furniture)",CHN,EU,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
278,CHL - Definitive Safeguard Measure on Imports of Fructose,ARG,,,,,,,,,CHL,,,,,2002,No,2002,In consultations,G (Sugars and Confectionary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
279,IND - Import Restrictions Maintained Under the Export and Import Policy 2002-2007,EU,,,,,,,,,IND,,,,,2002,No,2002,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
280,USA - Countervailing Duties on Steel Plate from MEX,MEX,,,,,,,,,USA,,,,,2003,Yes,2003,"Panel established, but not yet composed",L (Minerals and Metals),CAN,CHN,TAW,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
281,USA - Anti-Dumping Measure on Cement from MEX,MEX,,,,,,,,,USA,,,,,2003,Yes,2007,"Settled or terminated (withdrawn, mutually agreed solution)",L (Minerals and Metals),CAN,CHN,TAW,EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
282,USA - Anti-Dumping Measures on Oil Country Tubular Goods (OCTG) from MEX,MEX,,,,,,,,,USA,,,,,2003,Yes,2008,Authority for panel lapsed,"S (Mechanical, Office and Computing Machinery)",ARG,CAN,CHN,TAW,EU,JPN,VEN,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
283,EU1995 - Export Subsidies on Sugar,THI,,,,,,,,,EU,,,,,2003,Yes,2006,Implementation notified by respondent,G (Sugars and Confectionary),AUL,BAR,BLZ,BRA,CAN,CHN,COL,CUB,FIJ,GUY,IND,JAM,KEN,MAG,MAW,MAS,NEW,PAR,SKN,SWA,TAZ,TRI,USA,CDI,,,,,,,,,,,,24
284,MEX - Certain Measures Preventing the Importation of Black Beans from NIC,NIC,,,,,,,,,MEX,,,,,2003,No,2004,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
285,USA - Measures Affecting the Cross-Border Supply of Gambling and Betting Services,AAB,,,,,,,,,USA,,,,,2003,Yes,2013,Authorization to retaliate granted,W (Not Industry-Specific),CAN,TAW,EU,JPN,MEX,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
286,EU1995 - Customs Classification of Frozen Boneless Chicken Cuts,THI,,,,,,,,,EU,,,,,2003,Yes,2006,Implementation notified by respondent,A (Live Animals and Meat),BRA,CHN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
287,AUL - Quarantine Regime for Imports,EU,,,,,,,,,AUL,,,,,2003,Yes,2007,"Settled or terminated (withdrawn, mutually agreed solution)",A (Live Animals and Meat),CAN,CHL,CHN,IND,PHI,THI,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
288,SAF - Definitive Anti-Dumping Measures on Blanketing from TUR,TUR,,,,,,,,,SAF,,,,,2003,No,2003,In consultations,P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
289,CZR - Additional Duty on Imports of Pig-Meat from POL,POL,,,,,,,,,CZR,,,,,2003,No,2003,In consultations,A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
290,EU1995 - Protection of Trademarks and Geographical Indications for Agricultural Products and Foodstuffs,AUL,,,,,,,,,EU,,,,,2003,Yes,2006,Implementation notified by respondent,J (Other Agricultural Products),ARG,BRA,CAN,CHN,TAW,COL,GUA,IND,MEX,NEW,TUR,USA,,,,,,,,,,,,,,,,,,,,,,,,12
291,EU1995 - Measures Affecting the Approval and Marketing of Biotech Products,USA,,,,,,,,,EU,,,,,2003,Yes,2008,Authorization to retaliate requested,J (Other Agricultural Products),ARG,AUL,BRA,CAN,CHL,CHN,TAW,COL,SAL,HON,MEX,NEW,NOR,PAR,PER,THI,URU,,,,,,,,,,,,,,,,,,,17
292,EU1995 - Measures Affecting the Approval and Marketing of Biotech Products,CAN,,,,,,,,,EU,,,,,2003,Yes,2009,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),ARG,AUL,BRA,CHL,CHN,TAW,COL,SAL,HON,MEX,NEW,NOR,PAR,PER,THI,URU,USA,,,,,,,,,,,,,,,,,,,17
293,EU1995 - Measures Affecting the Approval and Marketing of Biotech Products,ARG,,,,,,,,,EU,,,,,2003,Yes,2010,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),AUL,BRA,CAN,CHL,CHN,TAW,COL,SAL,HON,MEX,NEW,NOR,PAR,PER,THI,URU,USA,,,,,,,,,,,,,,,,,,,17
294,"USA - Laws, Regulations and Methodology for Calculating Dumping Margins (Zeroing)",EU,,,,,,,,,USA,,,,,2003,Yes,2012,"Report(s) adopted, with recommendations to bring measures into conformity",W (Not Industry-Specific),ARG,BRA,CHN,TAW,HGK,IND,JPN,ROK,MEX,NOR,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,,12
295,MEX - Definitive Anti-Dumping Measures on Beef and Rice,USA,,,,,,,,,MEX,,,,,2003,Yes,2005,"Report(s) adopted, with recommendations to bring measures into conformity",A (Live Animals and Meat),CHN,EU,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
296,USA - Countervailing Duty Investigation on Dynamic Random Access Memory Semiconductors (DRAMS) from Korea,ROK,,,,,,,,,USA,,,,,2003,Yes,2006,Implementation notified by respondent,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,EU,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
297,CRO - Measures Affecting Imports of Live Animals and Meat Products,HUN,,,,,,,,,CRO,,,,,2003,No,2009,"Settled or terminated (withdrawn, mutually agreed solution)",A (Live Animals and Meat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
298,MEX - Certain Pricing Measures for Customs Valuation and Other Purposes,GUA,,,,,,,,,MEX,,,,,2003,No,2005,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
299,EU1995 - Countervailing Measures on Dynamic Random Access Memory Chips from Korea,ROK,,,,,,,,,EU,,,,,2003,Yes,2006,Implementation notified by respondent,"S (Mechanical, Office and Computing Machinery)",CHN,TAW,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
300,DOM - Measures Affecting the Importation of Cigarettes,HON,,,,,,,,,DOM,,,,,2003,No,2003,In consultations,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
301,EU1995 - Measures Affecting Trade in Commercial Vessels,ROK,,,,,,,,,EU,,,,,2003,Yes,2005,Mutually acceptable solution on implementation notified,U (Transport Equipment),CHN,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
302,DOM - Measures Affecting the Importation and Internal Sale of Cigarettes,HON,,,,,,,,,DOM,,,,,2003,Yes,2005,"Report(s) adopted, with recommendations to bring measures into conformity",H (Beverages and Tobacco),CHL,CHN,EU,SAL,GUA,NIC,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
303,ECU - Definitive Safeguard Measures on Imports of Medium Density Fibreboard,CHL,,,,,,,,,ECU,,,,,2003,No,2003,In consultations,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
304,IND - Anti-Dumping Measures on Imports of Certain Products from the EU1995,EU,,,,,,,,,IND,,,,,2003,No,2003,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
305,EGY - Measures Affecting Imports of Textile and Apparel Products,USA,,,,,,,,,EGY,,,,,2003,No,2005,"Settled or terminated (withdrawn, mutually agreed solution)",P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
306,IND - Anti-Dumping Measure on Batteries from BNG,BNG,,,,,,,,,IND,,,,,2004,No,2006,"Settled or terminated (withdrawn, mutually agreed solution)","S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
307,EU2004 - Aid for Commercial Vessels,ROK,,,,,,,,,EU,,,,,2004,No,2004,In consultations,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
308,MEX - Tax Measures on Soft Drinks and Other Beverages,USA,,,,,,,,,MEX,,,,,2004,Yes,2007,Implementation notified by respondent,H (Beverages and Tobacco),CAN,CHN,EU,GUA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
309,CHN - Value-Added Tax on Integrated Circuits,USA,,,,,,,,,CHN,,,,,2004,No,2005,"Settled or terminated (withdrawn, mutually agreed solution)","S (Mechanical, Office and Computing Machinery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
310,USA - Determination of the International Trade Commission in Hard Red Spring Wheat from CAN,CAN,,,,,,,,,USA,,,,,2004,No,2004,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
311,USA - Review of Countervailing Duty on Softwood Lumber from CAN,CAN,,,,,,,,,USA,,,,,2004,No,2007,"Settled or terminated (withdrawn, mutually agreed solution)","O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
